file,speaker,label,word,device,env,distance,peak_dbfs,rms_dbfs,warnings,timestamp
cat/s01_cat_esp32_001.wav,p1,cat,cat,esp32,p1_normal,perto,-0.0,-21.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:46:45
ball/s01_ball_esp32_001.wav,p1,ball,ball,esp32,p1_normal,longe,-10.0,-30.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:46:52
unknown/s01_call_esp32_001.wav,p1,unknown,call,esp32,p1_normal,medio,-6.6,-24.1,,2026-09-25T19:46:59
dog/s01_dog_esp32_002.wav,p1,dog,dog,esp32,p1_normal,perto,-4.8,-24.2,,2026-09-25T19:47:04
dog/s01_dog_esp32_003.wav,p1,dog,dog,esp32,p1_normal,longe,-12.2,-32.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:47:09
cat/s01_cat_esp32_002.wav,p1,cat,cat,esp32,p1_normal,longe,-14.4,-34.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:47:15
dog/s01_dog_esp32_004.wav,p1,dog,dog,esp32,p1_normal,medio,-13.7,-33.1,,2026-09-25T19:47:20
ball/s01_ball_esp32_002.wav,p1,ball,ball,esp32,p1_normal,perto,-10.8,-29.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:47:24
unknown/s01_cake_esp32_001.wav,p1,unknown,cake,esp32,p1_normal,longe,-14.3,-32.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:47:31
dog/s01_dog_esp32_005.wav,p1,dog,dog,esp32,p1_normal,longe,-12.2,-30.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:47:35
noise/s01_mesa_esp32_001.wav,p1,noise,mesa,esp32,p1_normal,medio,-6.1,-35.7,,2026-09-25T19:47:43
noise/s01_silencio_esp32_001.wav,p1,noise,silencio,esp32,p1_normal,medio,-36.8,-50.2,,2026-09-25T19:47:47
dog/s01_dog_esp32_006.wav,p1,dog,dog,esp32,p1_normal,perto,-7.0,-23.4,,2026-09-25T19:47:51
ball/s01_ball_esp32_003.wav,p1,ball,ball,esp32,p1_normal,perto,-13.0,-29.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:47:55
dog/s01_dog_esp32_007.wav,p1,dog,dog,esp32,p1_normal,longe,-9.1,-27.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:02
ball/s01_ball_esp32_004.wav,p1,ball,ball,esp32,p1_normal,perto,-12.6,-29.8,,2026-09-25T19:48:05
dog/s01_dog_esp32_008.wav,p1,dog,dog,esp32,p1_normal,medio,-15.7,-31.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:09
unknown/s01_oi_esp32_001.wav,p1,unknown,oi,esp32,p1_normal,medio,-13.9,-31.6,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:13
dog/s01_dog_esp32_009.wav,p1,dog,dog,esp32,p1_normal,medio,-14.1,-34.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:17
dog/s01_dog_esp32_010.wav,p1,dog,dog,esp32,p1_normal,perto,-9.1,-28.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:20
cat/s01_cat_esp32_003.wav,p1,cat,cat,esp32,p1_normal,perto,-3.9,-28.3,,2026-09-25T19:48:25
dog/s01_dog_esp32_011.wav,p1,dog,dog,esp32,p1_normal,perto,-12.7,-31.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:28
dog/s01_dog_esp32_012.wav,p1,dog,dog,esp32,p1_normal,medio,-13.5,-33.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:32
ball/s01_ball_esp32_005.wav,p1,ball,ball,esp32,p1_normal,medio,-16.6,-33.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:36
unknown/s01_hello_esp32_001.wav,p1,unknown,hello,esp32,p1_normal,perto,-15.0,-31.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:40
cat/s01_cat_esp32_004.wav,p1,cat,cat,esp32,p1_normal,longe,-13.6,-32.8,,2026-09-25T19:48:44
cat/s01_cat_esp32_005.wav,p1,cat,cat,esp32,p1_normal,perto,-4.2,-26.3,,2026-09-25T19:48:48
unknown/s01_cachorro_esp32_001.wav,p1,unknown,cachorro,esp32,p1_normal,perto,-7.1,-31.5,,2026-09-25T19:48:53
dog/s01_dog_esp32_013.wav,p1,dog,dog,esp32,p1_normal,longe,-15.6,-33.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:48:58
ball/s01_ball_esp32_006.wav,p1,ball,ball,esp32,p1_normal,perto,-14.8,-33.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:05
ball/s01_ball_esp32_007.wav,p1,ball,ball,esp32,p1_normal,perto,-18.1,-37.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:10
dog/s01_dog_esp32_014.wav,p1,dog,dog,esp32,p1_normal,medio,-12.4,-32.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:14
unknown/s01_mamae_esp32_001.wav,p1,unknown,mamae,esp32,p1_normal,medio,-18.1,-33.1,,2026-09-25T19:49:19
ball/s01_ball_esp32_008.wav,p1,ball,ball,esp32,p1_normal,medio,-15.8,-31.1,,2026-09-25T19:49:28
cat/s01_cat_esp32_006.wav,p1,cat,cat,esp32,p1_normal,perto,-12.8,-38.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:33
cat/s01_cat_esp32_007.wav,p1,cat,cat,esp32,p1_normal,perto,-22.1,-44.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:37
cat/s01_cat_esp32_008.wav,p1,cat,cat,esp32,p1_normal,medio,-13.1,-36.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:43
ball/s01_ball_esp32_009.wav,p1,ball,ball,esp32,p1_normal,perto,-13.6,-33.7,,2026-09-25T19:49:47
cat/s01_cat_esp32_009.wav,p1,cat,cat,esp32,p1_normal,longe,-9.3,-32.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:51
unknown/s01_tree_esp32_001.wav,p1,unknown,tree,esp32,p1_normal,longe,-14.7,-31.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:49:57
cat/s01_cat_esp32_010.wav,p1,cat,cat,esp32,p1_normal,longe,-11.7,-34.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:01
unknown/s01_bola_esp32_001.wav,p1,unknown,bola,esp32,p1_normal,medio,-14.9,-32.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:07
unknown/s01_bowl_esp32_001.wav,p1,unknown,bowl,esp32,p1_normal,longe,-12.0,-29.9,,2026-09-25T19:50:11
unknown/s01_bat_esp32_001.wav,p1,unknown,bat,esp32,p1_normal,medio,-9.7,-33.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:13
unknown/s01_hat_esp32_001.wav,p1,unknown,hat,esp32,p1_normal,longe,-8.5,-33.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:16
unknown/s01_tall_esp32_001.wav,p1,unknown,tall,esp32,p1_normal,medio,-30.3,-48.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:18
dog/s01_dog_esp32_015.wav,p1,dog,dog,esp32,p1_normal,perto,-28.7,-48.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:20
cat/s01_cat_esp32_011.wav,p1,cat,cat,esp32,p1_normal,longe,-12.5,-34.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:27
unknown/s01_book_esp32_001.wav,p1,unknown,book,esp32,p1_normal,longe,-15.7,-32.9,,2026-09-25T19:50:30
unknown/s01_car_esp32_001.wav,p1,unknown,car,esp32,p1_normal,medio,-15.2,-32.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:33
unknown/s01_log_esp32_001.wav,p1,unknown,log,esp32,p1_normal,longe,-13.1,-29.7,,2026-09-25T19:50:37
noise/s01_palma_esp32_001.wav,p1,noise,palma,esp32,p1_normal,medio,-0.0,-19.3,SATURADO (fale mais longe/baixo),2026-09-25T19:50:42
ball/s01_ball_esp32_010.wav,p1,ball,ball,esp32,p1_normal,longe,-10.0,-28.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:46
cat/s01_cat_esp32_012.wav,p1,cat,cat,esp32,p1_normal,longe,-9.6,-30.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:50
unknown/s01_cap_esp32_001.wav,p1,unknown,cap,esp32,p1_normal,medio,-11.5,-34.8,palavra pode estar CORTADA no início/fim,2026-09-25T19:50:54
cat/s01_cat_esp32_013.wav,p1,cat,cat,esp32,p1_normal,medio,-15.2,-33.8,,2026-09-25T19:50:57
cat/s01_cat_esp32_014.wav,p1,cat,cat,esp32,p1_normal,longe,-14.9,-35.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:51:01
unknown/s01_gato_esp32_001.wav,p1,unknown,gato,esp32,p1_normal,perto,-10.7,-31.7,,2026-09-25T19:51:38
unknown/s01_fall_esp32_001.wav,p1,unknown,fall,esp32,p1_normal,medio,-12.7,-31.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:51:42
unknown/s01_nao_esp32_001.wav,p1,unknown,nao,esp32,p1_normal,medio,-14.7,-31.9,,2026-09-25T19:51:47
noise/s01_palma_esp32_002.wav,p1,noise,palma,esp32,p1_normal,medio,-1.1,-31.3,,2026-09-25T19:51:51
unknown/s01_sim_esp32_001.wav,p1,unknown,sim,esp32,p1_normal,perto,-13.0,-33.8,,2026-09-25T19:51:55
ball/s01_ball_esp32_011.wav,p1,ball,ball,esp32,p1_normal,perto,-9.6,-26.5,,2026-09-25T19:52:00
ball/s01_ball_esp32_012.wav,p1,ball,ball,esp32,p1_normal,longe,-11.8,-30.1,,2026-09-25T19:52:08
cat/s01_cat_esp32_015.wav,p1,cat,cat,esp32,p1_normal,perto,-10.0,-32.0,,2026-09-25T19:52:14
unknown/s01_dug_esp32_001.wav,p1,unknown,dug,esp32,p1_normal,perto,-10.5,-29.3,,2026-09-25T19:52:18
unknown/s01_bell_esp32_001.wav,p1,unknown,bell,esp32,p1_normal,perto,-10.3,-29.2,,2026-09-25T19:52:22
ball/s01_ball_esp32_013.wav,p1,ball,ball,esp32,p1_normal,perto,-8.5,-29.1,,2026-09-25T19:52:26
unknown/s01_apple_esp32_001.wav,p1,unknown,apple,esp32,p1_normal,longe,-41.4,-52.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:52:29
unknown/s01_apple_esp32_001.wav,p1,unknown,apple,esp32,p1_normal,medio,-10.7,-30.7,,2026-09-25T19:52:39
ball/s01_ball_esp32_014.wav,p1,ball,ball,esp32,p1_normal,medio,-6.9,-26.3,,2026-09-25T19:52:43
unknown/s01_casa_esp32_001.wav,p1,unknown,casa,esp32,p1_normal,medio,-9.3,-30.0,,2026-09-25T19:52:48
noise/s01_frase_esp32_001.wav,p1,noise,frase,esp32,p1_normal,perto,-15.5,-31.2,,2026-09-25T19:52:53
noise/s01_silencio_esp32_002.wav,p1,noise,silencio,esp32,p1_normal,medio,-43.4,-52.8,,2026-09-25T19:52:57
dog/s01_dog_esp32_016.wav,p1,dog,dog,esp32,p1_normal,perto,-10.0,-27.5,,2026-09-25T19:53:22
ball/s01_ball_esp32_015.wav,p1,ball,ball,esp32,p1_normal,perto,-12.3,-29.6,,2026-09-25T19:53:26
cat/s01_cat_esp32_016.wav,p1,cat,cat,esp32,p1_normal,longe,-10.4,-31.7,,2026-09-25T19:53:30
ball/s01_ball_esp32_016.wav,p1,ball,ball,esp32,p1_normal,perto,-8.5,-27.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:53:33
ball/s01_ball_esp32_017.wav,p1,ball,ball,esp32,p1_normal,longe,-15.3,-33.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:53:37
dog/s01_dog_esp32_017.wav,p1,dog,dog,esp32,p1_normal,perto,-17.0,-33.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:54:00
ball/s01_ball_esp32_018.wav,p1,ball,ball,esp32,p1_normal,longe,-15.1,-32.4,,2026-09-25T19:54:03
unknown/s01_sun_esp32_001.wav,p1,unknown,sun,esp32,p1_normal,medio,-14.9,-32.3,,2026-09-25T19:54:07
ball/s01_ball_esp32_019.wav,p1,ball,ball,esp32,p1_normal,perto,-12.4,-33.3,,2026-09-25T19:54:11
unknown/s01_doll_esp32_001.wav,p1,unknown,doll,esp32,p1_normal,longe,-9.1,-25.9,,2026-09-25T19:54:15
unknown/s01_wall_esp32_001.wav,p1,unknown,wall,esp32,p1_normal,perto,-8.5,-27.9,,2026-09-25T19:54:17
noise/s01_tosse_esp32_001.wav,p1,noise,tosse,esp32,p1_normal,medio,-0.0,-15.0,,2026-09-25T19:54:21
noise/s01_silencio_esp32_003.wav,p1,noise,silencio,esp32,p1_normal,medio,-38.0,-51.4,,2026-09-25T19:54:25
dog/s01_dog_esp32_018.wav,p1,dog,dog,esp32,p1_normal,medio,-14.3,-36.0,,2026-09-25T19:54:29
dog/s01_dog_esp32_019.wav,p1,dog,dog,esp32,p1_normal,perto,-6.6,-27.4,,2026-09-25T19:54:32
unknown/s01_mom_esp32_001.wav,p1,unknown,mom,esp32,p1_normal,medio,-14.2,-29.0,,2026-09-25T19:54:36
noise/s01_silencio_esp32_004.wav,p1,noise,silencio,esp32,p1_normal,medio,-37.7,-51.7,,2026-09-25T19:54:39
ball/s01_ball_esp32_020.wav,p1,ball,ball,esp32,p1_normal,medio,-8.8,-28.0,,2026-09-25T19:54:42
cat/s01_cat_esp32_017.wav,p1,cat,cat,esp32,p1_normal,medio,-12.0,-31.5,,2026-09-25T19:54:45
dog/s01_dog_esp32_020.wav,p1,dog,dog,esp32,p1_normal,medio,-11.2,-27.7,,2026-09-25T19:54:48
cat/s01_cat_esp32_018.wav,p1,cat,cat,esp32,p1_normal,medio,-9.5,-31.8,,2026-09-25T19:54:51
noise/s01_respiro_esp32_001.wav,p1,noise,respiro,esp32,p1_normal,medio,0.0,-13.2,SATURADO (fale mais longe/baixo),2026-09-25T19:54:54
cat/s01_cat_esp32_019.wav,p1,cat,cat,esp32,p1_normal,medio,-10.5,-31.7,palavra pode estar CORTADA no início/fim,2026-09-25T19:55:03
cat/s01_cat_esp32_020.wav,p1,cat,cat,esp32,p1_normal,perto,-4.3,-27.2,,2026-09-25T19:55:06
unknown/s01_dot_esp32_001.wav,p1,unknown,dot,esp32,p1_normal,perto,-6.1,-27.8,palavra pode estar CORTADA no início/fim,2026-09-25T19:55:10
unknown/s01_door_esp32_001.wav,p1,unknown,door,esp32,p1_normal,perto,-7.9,-24.7,,2026-09-25T19:55:14
dog/s01_dog_esp32_021.wav,p1,dog,dog,esp32,p1_fino,perto,-5.1,-23.2,,2026-09-25T19:55:36
cat/s01_cat_esp32_021.wav,p1,cat,cat,esp32,p1_fino,perto,-6.4,-27.9,,2026-09-25T19:55:39
ball/s01_ball_esp32_021.wav,p1,ball,ball,esp32,p1_fino,longe,-7.5,-27.0,,2026-09-25T19:55:43
unknown/s01_call_esp32_002.wav,p1,unknown,call,esp32,p1_fino,medio,-10.8,-27.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:55:47
dog/s01_dog_esp32_022.wav,p1,dog,dog,esp32,p1_fino,perto,-0.0,-22.2,,2026-09-25T19:55:50
dog/s01_dog_esp32_023.wav,p1,dog,dog,esp32,p1_fino,longe,-7.8,-30.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:55:54
cat/s01_cat_esp32_022.wav,p1,cat,cat,esp32,p1_fino,longe,-13.2,-31.0,palavra pode estar CORTADA no início/fim,2026-09-25T19:55:57
dog/s01_dog_esp32_024.wav,p1,dog,dog,esp32,p1_fino,medio,-11.0,-28.2,,2026-09-25T19:56:00
ball/s01_ball_esp32_022.wav,p1,ball,ball,esp32,p1_fino,perto,-4.0,-20.0,,2026-09-25T19:56:03
unknown/s01_cake_esp32_002.wav,p1,unknown,cake,esp32,p1_fino,longe,-15.3,-30.5,,2026-09-25T19:56:06
dog/s01_dog_esp32_025.wav,p1,dog,dog,esp32,p1_fino,longe,-4.5,-22.7,,2026-09-25T19:56:09
noise/s01_mesa_esp32_002.wav,p1,noise,mesa,esp32,p1_fino,medio,-0.0,-24.7,,2026-09-25T19:56:12
noise/s01_silencio_esp32_005.wav,p1,noise,silencio,esp32,p1_fino,medio,-34.3,-48.9,,2026-09-25T19:56:16
dog/s01_dog_esp32_026.wav,p1,dog,dog,esp32,p1_fino,perto,-7.3,-23.6,palavra pode estar CORTADA no início/fim,2026-09-25T19:56:19
ball/s01_ball_esp32_023.wav,p1,ball,ball,esp32,p1_fino,perto,-3.5,-23.6,,2026-09-25T19:56:23
dog/s01_dog_esp32_027.wav,p1,dog,dog,esp32,p1_fino,longe,-12.3,-30.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:56:27
ball/s01_ball_esp32_024.wav,p1,ball,ball,esp32,p1_fino,perto,-8.0,-25.1,,2026-09-25T19:56:31
dog/s01_dog_esp32_028.wav,p1,dog,dog,esp32,p1_fino,medio,-11.0,-28.0,,2026-09-25T19:56:35
unknown/s01_oi_esp32_002.wav,p1,unknown,oi,esp32,p1_fino,medio,-11.2,-28.6,,2026-09-25T19:56:38
dog/s01_dog_esp32_029.wav,p1,dog,dog,esp32,p1_fino,medio,-13.7,-30.4,,2026-09-25T19:56:42
dog/s01_dog_esp32_030.wav,p1,dog,dog,esp32,p1_fino,perto,-4.9,-23.9,,2026-09-25T19:56:46
cat/s01_cat_esp32_023.wav,p1,cat,cat,esp32,p1_fino,perto,-8.3,-27.9,,2026-09-25T19:56:50
dog/s01_dog_esp32_031.wav,p1,dog,dog,esp32,p1_fino,perto,-3.5,-24.8,,2026-09-25T19:56:55
dog/s01_dog_esp32_032.wav,p1,dog,dog,esp32,p1_fino,medio,-6.4,-26.9,,2026-09-25T19:56:58
ball/s01_ball_esp32_025.wav,p1,ball,ball,esp32,p1_fino,medio,-6.6,-26.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:01
unknown/s01_hello_esp32_002.wav,p1,unknown,hello,esp32,p1_fino,perto,-0.1,-18.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:04
cat/s01_cat_esp32_024.wav,p1,cat,cat,esp32,p1_fino,longe,-11.7,-33.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:08
cat/s01_cat_esp32_025.wav,p1,cat,cat,esp32,p1_fino,perto,-4.8,-25.8,,2026-09-25T19:57:11
unknown/s01_cachorro_esp32_002.wav,p1,unknown,cachorro,esp32,p1_fino,perto,-9.2,-32.6,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:14
dog/s01_dog_esp32_033.wav,p1,dog,dog,esp32,p1_fino,longe,-10.5,-28.2,,2026-09-25T19:57:18
ball/s01_ball_esp32_026.wav,p1,ball,ball,esp32,p1_fino,perto,-5.6,-23.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:21
ball/s01_ball_esp32_027.wav,p1,ball,ball,esp32,p1_fino,perto,-2.1,-19.2,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:25
dog/s01_dog_esp32_034.wav,p1,dog,dog,esp32,p1_fino,medio,-9.2,-26.8,,2026-09-25T19:57:27
unknown/s01_mamae_esp32_002.wav,p1,unknown,mamae,esp32,p1_fino,medio,-2.1,-20.1,,2026-09-25T19:57:31
ball/s01_ball_esp32_028.wav,p1,ball,ball,esp32,p1_fino,medio,-5.5,-24.2,,2026-09-25T19:57:33
cat/s01_cat_esp32_026.wav,p1,cat,cat,esp32,p1_fino,perto,-1.5,-22.0,,2026-09-25T19:57:37
cat/s01_cat_esp32_027.wav,p1,cat,cat,esp32,p1_fino,perto,-4.5,-23.4,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:40
cat/s01_cat_esp32_028.wav,p1,cat,cat,esp32,p1_fino,medio,-8.3,-26.6,,2026-09-25T19:57:43
ball/s01_ball_esp32_029.wav,p1,ball,ball,esp32,p1_fino,perto,-36.7,-48.8,palavra pode estar CORTADA no início/fim,2026-09-25T19:57:45
ball/s01_ball_esp32_029.wav,p1,ball,ball,esp32,p1_fino,longe,-0.0,-18.1,,2026-09-25T19:57:53
cat/s01_cat_esp32_029.wav,p1,cat,cat,esp32,p1_fino,longe,-3.9,-24.7,,2026-09-25T19:57:56
cat/s01_cat_esp32_029.wav,p1,cat,cat,esp32,p1_fino,longe,-10.8,-27.3,,2026-09-25T19:58:01
unknown/s01_tree_esp32_002.wav,p1,unknown,tree,esp32,p1_fino,medio,-13.1,-31.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:06
cat/s01_cat_esp32_030.wav,p1,cat,cat,esp32,p1_fino,longe,-10.4,-29.9,,2026-09-25T19:58:09
unknown/s01_bola_esp32_002.wav,p1,unknown,bola,esp32,p1_fino,medio,-12.0,-28.8,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:12
unknown/s01_bowl_esp32_002.wav,p1,unknown,bowl,esp32,p1_fino,perto,-11.9,-26.8,,2026-09-25T19:58:16
unknown/s01_bat_esp32_002.wav,p1,unknown,bat,esp32,p1_fino,longe,-12.2,-30.7,,2026-09-25T19:58:20
unknown/s01_hat_esp32_002.wav,p1,unknown,hat,esp32,p1_fino,longe,-10.2,-28.4,,2026-09-25T19:58:23
unknown/s01_tall_esp32_002.wav,p1,unknown,tall,esp32,p1_fino,medio,-12.9,-30.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:26
dog/s01_dog_esp32_035.wav,p1,dog,dog,esp32,p1_fino,longe,-9.3,-28.9,,2026-09-25T19:58:29
cat/s01_cat_esp32_031.wav,p1,cat,cat,esp32,p1_fino,longe,-13.9,-35.2,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:32
unknown/s01_book_esp32_002.wav,p1,unknown,book,esp32,p1_fino,longe,-16.9,-33.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:36
unknown/s01_car_esp32_002.wav,p1,unknown,car,esp32,p1_fino,medio,-9.6,-27.1,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:39
unknown/s01_log_esp32_002.wav,p1,unknown,log,esp32,p1_fino,medio,-11.1,-30.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:43
noise/s01_palma_esp32_003.wav,p1,noise,palma,esp32,p1_fino,medio,-0.0,-18.9,SATURADO (fale mais longe/baixo),2026-09-25T19:58:46
ball/s01_ball_esp32_030.wav,p1,ball,ball,esp32,p1_fino,longe,-8.4,-30.6,,2026-09-25T19:58:50
cat/s01_cat_esp32_032.wav,p1,cat,cat,esp32,p1_fino,perto,-14.4,-33.8,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:53
unknown/s01_cap_esp32_002.wav,p1,unknown,cap,esp32,p1_fino,medio,-17.5,-34.9,palavra pode estar CORTADA no início/fim,2026-09-25T19:58:56
cat/s01_cat_esp32_033.wav,p1,cat,cat,esp32,p1_fino,medio,-7.2,-30.0,,2026-09-25T19:59:00
cat/s01_cat_esp32_034.wav,p1,cat,cat,esp32,p1_fino,perto,-10.6,-30.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:59:04
unknown/s01_gato_esp32_002.wav,p1,unknown,gato,esp32,p1_fino,perto,-1.8,-25.3,,2026-09-25T19:59:07
unknown/s01_fall_esp32_002.wav,p1,unknown,fall,esp32,p1_fino,longe,-5.1,-25.4,,2026-09-25T19:59:10
unknown/s01_nao_esp32_002.wav,p1,unknown,nao,esp32,p1_fino,perto,-5.7,-21.9,,2026-09-25T19:59:14
noise/s01_palma_esp32_004.wav,p1,noise,palma,esp32,p1_fino,medio,0.0,-27.4,,2026-09-25T19:59:17
unknown/s01_sim_esp32_002.wav,p1,unknown,sim,esp32,p1_fino,perto,-11.2,-30.7,,2026-09-25T19:59:22
ball/s01_ball_esp32_031.wav,p1,ball,ball,esp32,p1_fino,perto,-2.7,-19.2,,2026-09-25T19:59:27
ball/s01_ball_esp32_032.wav,p1,ball,ball,esp32,p1_fino,perto,-4.9,-23.7,,2026-09-25T19:59:30
cat/s01_cat_esp32_035.wav,p1,cat,cat,esp32,p1_fino,longe,-11.0,-30.5,palavra pode estar CORTADA no início/fim,2026-09-25T19:59:33
unknown/s01_dug_esp32_002.wav,p1,unknown,dug,esp32,p1_fino,longe,-12.2,-29.6,palavra pode estar CORTADA no início/fim,2026-09-25T19:59:37
unknown/s01_bell_esp32_002.wav,p1,unknown,bell,esp32,p1_fino,medio,-13.2,-32.3,,2026-09-25T19:59:41
ball/s01_ball_esp32_033.wav,p1,ball,ball,esp32,p1_fino,medio,-12.1,-29.5,,2026-09-25T19:59:45
unknown/s01_apple_esp32_002.wav,p1,unknown,apple,esp32,p1_fino,medio,-12.0,-28.3,palavra pode estar CORTADA no início/fim,2026-09-25T19:59:49
ball/s01_ball_esp32_034.wav,p1,ball,ball,esp32,p1_fino,perto,-9.2,-24.7,,2026-09-25T19:59:52
unknown/s01_casa_esp32_002.wav,p1,unknown,casa,esp32,p1_fino,perto,-8.4,-31.3,,2026-09-25T19:59:55
noise/s01_frase_esp32_002.wav,p1,noise,frase,esp32,p1_fino,perto,-15.2,-27.8,,2026-09-25T19:59:59
noise/s01_silencio_esp32_006.wav,p1,noise,silencio,esp32,p1_fino,medio,-38.4,-50.6,,2026-09-25T20:00:02
dog/s01_dog_esp32_036.wav,p1,dog,dog,esp32,p1_fino,longe,-11.5,-29.7,palavra pode estar CORTADA no início/fim,2026-09-25T20:00:09
